Zip Code,City,City-Zip,County
97627,Keno,Keno-97627,Klamath
97033,Kent,Kent-97033,Sherman
97217,Kenton,Kenton-97217,Multnomah
97531,Kerby,Kerby-97531,Josephine
97232,Kerns,Kerns-97232,Multnomah
97367,Kernville,Kernville-97367,Lincoln
97848,Kimberly,Kimberly-97848,Grant
97211,King,King-97211,Multnomah
97224,King City,King City-97224,Washington
97007,Kinton,Kinton-97007,Washington
97830,Kinzua,Kinzua-97830,Wheeler
97601,Klamath Falls,Klamath Falls-97601,Klamath
97602,Klamath Falls,Klamath Falls-97602,Klamath
97603,Klamath Falls,Klamath Falls-97603,Klamath
97625,Klamath Falls,Klamath Falls-97625,Klamath
97850,La Grande,La Grande-97850,Union
97739,La Pine,La Pine-97739,Deschutes
97070,Ladd Hill,Ladd Hill-97070,Clackamas
97127,Lafayette,Lafayette-97127,Yamhill
97201,Lair Hill,Lair Hill-97201,Multnomah
97034,Lake Grove,Lake Grove-97034,Clackamas
97035,Lake Grove,Lake Grove-97035,Clackamas
97603,Lake of the Woods,Lake of the Woods-97603,Klamath
97034,Lake Oswego,Lake Oswego-97034,Clackamas
97035,Lake Oswego,Lake Oswego-97035,Clackamas
97449,Lakeside,Lakeside-97449,Coos
97630,Lakeview,Lakeview-97630,Lake
97034,Lakewood,Lakewood-97034,Clackamas
97450,Langlois,Langlois-97450,Curry
97123,Laurel,Laurel-97123,Washington
97232,Laurelhurst,Laurelhurst-97232,Multnomah
97119,Laurelwood,Laurelwood-97119,Washington
97720,Lawen,Lawen-97720,Harney
97489,Leaburg,Leaburg-97489,Lane
97355,Lebanon,Lebanon-97355,Linn
97266,Lents,Lents-97266,Multnomah
97839,Lexington,Lexington-97839,Morrow
97038,Liberal,Liberal-97038,Clackamas
97520,Lincoln,Lincoln-97520,Jackson
97341,Lincoln Beach,Lincoln Beach-97341,Lincoln
97367,Lincoln City,Lincoln City-97367,Lincoln
97045,Linns Mill,Linns Mill-97045,Clackamas
97231,Linnton,Linnton-97231,Multnomah
97045,Logan,Logan-97045,Clackamas
97357,Logsden,Logsden-97357,Lincoln
97013,Lone Elder,Lone Elder-97013,Clackamas
97823,Lonerock,Lonerock-97823,Gilliam
97451,Lorane,Lorane-97451,Lane
97857,Lostine,Lostine-97857,Wallowa
97452,Lowell,Lowell-97452,Lane
97004,Lower Highland,Lower Highland-97004,Clackamas
97148,Lunnville,Lunnville-97148,Yamhill
97358,Lyons,Lyons-97358,Linn
97013,Macksburg,Macksburg-97013,Clackamas
97220,Madison South,Madison South-97220,Multnomah
97741,Madras,Madras-97741,Jefferson
97124,Mahan,Mahan-97124,Washington
97632,Malin,Malin-97632,Klamath
97125,Manning,Manning-97125,Washington
97130,Manzanita,Manzanita-97130,Tillamook
97453,Mapleton,Mapleton-97453,Lane
97219,Maplewood,Maplewood-97219,Multnomah
97454,Marcola,Marcola-97454,Lane
97392,Marion,Marion-97392,Marion
97420,Market,Market-97420,Coos
97219,Markham,Markham-97219,Multnomah
97055,Marmot,Marmot-97055,Clackamas
97038,Marquam,Marquam-97038,Clackamas
97219,Marshall Park,Marshall Park-97219,Multnomah
97036,Marylhurst,Marylhurst-97036,Clackamas
97068,Marylhurst Heights,Marylhurst Heights-97068,Clackamas
97004,Massinger Corner,Massinger Corner-97004,Clackamas
97037,Maupin,Maupin-97037,Wasco
97830,Mayville,Mayville-97830,Wheeler
97220,Maywood Park,Maywood Park-97220,Multnomah
97413,McKenzie Bridge,McKenzie Bridge-97413,Lane
97128,McMinnville,McMinnville-97128,Yamhill
97882,McNary,McNary-97882,Umatilla
97859,Meacham,Meacham-97859,Umatilla
97501,Medford,Medford-97501,Jackson
97502,Medford,Medford-97502,Jackson
97503,Medford,Medford-97503,Jackson
97504,Medford,Medford-97504,Jackson
97814,Medical Springs,Medical Springs-97814,Baker
97384,Mehama,Mehama-97384,Marion
97470,Melrose,Melrose-97470,Douglas
97532,Merlin,Merlin-97532,Josephine
97633,Merrill,Merrill-97633,Klamath
97741,Metolius,Metolius-97741,Jefferson
97223,Metzger,Metzger-97223,Washington
97140,Middleton,Middleton-97140,Washington
97634,Midland,Midland-97634,Klamath
97123,Midway,Midway-97123,Washington
97861,Mikkalo,Mikkalo-97861,Gilliam
97360,Mill City,Mill City-97360,Linn
97233,Mill Park,Mill Park-97233,Multnomah
97231,Miller,Miller-97231,Multnomah
97455,Milo,Milo-97455,Lane
97862,Milton Freewater,Milton Freewater-97862,Umatilla
97222,Milwaukie,Milwaukie-97222,Clackamas
97267,Milwaukie,Milwaukie-97267,Clackamas
97269,Milwaukie,Milwaukie-97269,Clackamas
97222,Milwaukie Heights,Milwaukie Heights-97222,Clackamas
97016,Mist,Mist-97016,Columbia
97750,Mitchell,Mitchell-97750,Wheeler
97477,Mohawk,Mohawk-97477,Lane
97131,Mohler,Mohler-97131,Tillamook
97038,Molalla,Molalla-97038,Clackamas
97361,Monmouth,Monmouth-97361,Polk
97456,Monroe,Monroe-97456,Benton
97216,Montavilla,Montavilla-97216,Multnomah
97864,Monument,Monument-97864,Grant
97039,Moro,Moro-97039,Sherman
97040,Mosier,Mosier-97040,Wasco
97362,Mount Angel,Mount Angel-97362,Marion
97041,Mount Hood,Mount Hood-97041,Hood River
97080,Mount Hood,Mount Hood-97080,Multnomah
97041,Mount Hood Parkdale,Mount Hood Parkdale-97041,Hood River
97038,Mount Hope,Mount Hope-97038,Clackamas
97206,Mount Scott-Arleta,Mount Scott-Arleta-97206,Multnomah
97215,Mount Tabor,Mount Tabor-97215,Multnomah
97865,Mount Vernon,Mount Vernon-97865,Grant
97140,Mountain Home,Mountain Home-97140,Washington
97133,Mountaindale,Mountaindale-97133,Washington
97042,Mulino,Mulino-97042,Clackamas
97140,Mulloy,Mulloy-97140,Washington
97219,Multnomah,Multnomah-97219,Multnomah
97533,Murphy,Murphy-97533,Josephine
97007,Murrayhill,Murrayhill-97007,Washington
97457,Myrtle Creek,Myrtle Creek-97457,Douglas
97458,Myrtle Point,Myrtle Point-97458,Coos
97267,Naef,Naef-97267,Clackamas
97131,Nehalem,Nehalem-97131,Tillamook
97364,Neotsu,Neotsu-97364,Lincoln
97149,Neskowin,Neskowin-97149,Tillamook
97143,Netarts,Netarts-97143,Tillamook
97045,New Era,New Era-97045,Clackamas
97635,New Pine Creek,New Pine Creek-97635,Lake
97132,Newberg,Newberg-97132,Yamhill
97365,Newport,Newport-97365,Lincoln
97366,Newport,Newport-97366,Lincoln
97123,Newton,Newton-97123,Washington
97321,North Albany,North Albany-97321,Linn
97459,North Bend,North Bend-97459,Coos
97030,North Central,North Central-97030,Multnomah
97030,North East,North East-97030,Multnomah
97024,North Gresham,North Gresham-97024,Multnomah
97133,North Plains,North Plains-97133,Washington
97867,North Powder,North Powder-97867,Union
97123,North Scholls,North Scholls-97123,Washington
97140,North Scholls,North Scholls-97140,Washington
97030,North West,North West-97030,Multnomah
97210,Northwest,Northwest-97210,Multnomah
97229,Northwest Heights,Northwest Heights-97229,Washington
97210,Northwest Industrial,Northwest Industrial-97210,Multnomah
97458,Norway,Norway-97458,Coos
97062,Norwood,Norwood-97062,Washington
97461,Noti,Noti-97461,Lane
97913,Nyssa,Nyssa-97913,Malheur
97222,Oak Grove,Oak Grove-97222,Clackamas
97267,Oak Grove,Oak Grove-97267,Clackamas
97268,Oak Grove,Oak Grove-97268,Clackamas
97006,Oak Hills,Oak Hills-97006,Washington
97462,Oakland,Oakland-97462,Douglas
97463,Oakridge,Oakridge-97463,Lane
97534,O'Brien,O'Brien-97534,Josephine
